127.0.0.1, 2014-06-24 15:10:26, GET, /admin/default/index, HTTP/1.1, 200, 0.025979
127.0.0.1, 2014-06-24 15:10:29, POST, /admin/default/index, HTTP/1.1, 303, 0.026638
127.0.0.1, 2014-06-24 15:10:29, GET, /admin/default/ticket/basic_rest/127.0.0.1.2014-06-24.15-10-00.5ab19a46-b371-4286-835a-8957f8b9857e, HTTP/1.1, 200, 0.034597
127.0.0.1, 2014-06-24 15:11:56, GET, /basic_rest/default/api/fam.json, HTTP/1.1, 200, 0.010968
127.0.0.1, 2014-06-24 15:12:25, GET, /basic_rest/default/api/fam/id/1.json, HTTP/1.1, 200, 0.012408
127.0.0.1, 2014-06-24 15:15:29, POST, /basic_rest/default/api/fam.json, HTTP/1.1, 200, 0.145489
127.0.0.1, 2014-06-24 15:16:15, DELETE, /basic_rest/default/api/fam/2.json, HTTP/1.1, 200, 0.145578
127.0.0.1, 2014-06-24 15:17:14, PUT, /basic_rest/default/api/fam/3.json, HTTP/1.1, 200, 0.162322
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/default/user/register, HTTP/1.1, 200, 0.028142
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001586
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/css/calendar.css, HTTP/1.1, 200, 0.001658
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/js/calendar.js, HTTP/1.1, 200, 0.000730
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/js/jquery.js, HTTP/1.1, 200, 0.002246
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/js/web2py.js, HTTP/1.1, 200, 0.000896
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000805
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/css/web2py.css, HTTP/1.1, 200, 0.001381
