127.0.0.1, 2014-06-23 15:13:40, GET, /admin/default/site, HTTP/1.1, 200, 0.041298
127.0.0.1, 2014-06-23 15:13:53, GET, /admin/default/index, HTTP/1.1, 303, 0.005401
127.0.0.1, 2014-06-23 15:13:54, GET, /admin/default/site, HTTP/1.1, 200, 0.031843
127.0.0.1, 2014-06-23 15:13:55, GET, /admin/default/site, HTTP/1.1, 200, 0.030459
127.0.0.1, 2014-06-23 15:14:26, GET, /py2manager/default/user/register, HTTP/1.1, 500, 0.014660
127.0.0.1, 2014-06-23 15:14:28, GET, /admin/default/ticket/py2manager/127.0.0.1.2014-06-23.15-14-26.4803e586-4086-4229-97c4-ffdbe3045ed8, HTTP/1.1, 200, 0.039036
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/default/user/register, HTTP/1.1, 200, 0.315072
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 200, 0.001013
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.001780
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.001132
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 200, 0.000690
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001892
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000185
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 200, 0.002113
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001313
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000524
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000663
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/js/share.js, HTTP/1.1, 200, 0.000521
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000398
127.0.0.1, 2014-06-23 15:16:07, GET, /py2manager/static/images/favicon.ico, HTTP/1.1, 200, 0.000257
127.0.0.1, 2014-06-23 15:16:08, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 200, 0.000295
127.0.0.1, 2014-06-23 15:16:08, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 200, 0.000595
127.0.0.1, 2014-06-23 15:16:08, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 200, 0.001055
127.0.0.1, 2014-06-23 15:16:40, POST, /py2manager/default/user/register, HTTP/1.1, 303, 0.291192
127.0.0.1, 2014-06-23 15:16:40, GET, /py2manager/default/index, HTTP/1.1, 200, 0.013384
127.0.0.1, 2014-06-23 15:16:40, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000245
127.0.0.1, 2014-06-23 15:17:15, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.026369
127.0.0.1, 2014-06-23 15:17:15, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000523
127.0.0.1, 2014-06-23 15:17:30, GET, /py2manager/appadmin/select/db, HTTP/1.1, 200, 0.030867
127.0.0.1, 2014-06-23 15:17:30, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000321
127.0.0.1, 2014-06-23 15:17:35, GET, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.028198
127.0.0.1, 2014-06-23 15:17:35, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000259
127.0.0.1, 2014-06-23 15:17:58, POST, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.207122
127.0.0.1, 2014-06-23 15:17:58, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000225
127.0.0.1, 2014-06-23 15:54:43, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.019580
127.0.0.1, 2014-06-23 15:54:43, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000397
127.0.0.1, 2014-06-23 15:54:56, GET, /py2manager/user/login, HTTP/1.1, 404, 0.009148
127.0.0.1, 2014-06-23 15:56:00, GET, /py2manager/user/login, HTTP/1.1, 200, 0.054803
127.0.0.1, 2014-06-23 15:56:00, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000326
127.0.0.1, 2014-06-23 15:56:07, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.016991
127.0.0.1, 2014-06-23 15:56:07, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000327
127.0.0.1, 2014-06-23 15:56:11, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.020466
127.0.0.1, 2014-06-23 15:56:11, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000334
127.0.0.1, 2014-06-23 15:56:15, GET, /py2manager/user/login, HTTP/1.1, 200, 0.019740
127.0.0.1, 2014-06-23 15:56:15, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000291
127.0.0.1, 2014-06-24 09:13:26, POST, /py2manager/user/login, HTTP/1.1, 200, 0.021722
127.0.0.1, 2014-06-24 09:13:26, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000503
127.0.0.1, 2014-06-24 11:11:44, GET, /tester, HTTP/1.1, 200, 0.014198
127.0.0.1, 2014-06-24 11:11:44, GET, /favicon.ico, HTTP/1.1, 404, 0.000393
127.0.0.1, 2014-06-24 11:11:44, GET, /favicon.ico, HTTP/1.1, 404, 0.000279
127.0.0.1, 2014-06-24 11:12:58, GET, /tester, HTTP/1.1, 200, 0.025156
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.000335
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000308
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001015
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 200, 0.001021
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.004462
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.001470
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 200, 0.000977
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 200, 0.001025
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000703
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000334
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/js/share.js, HTTP/1.1, 200, 0.000637
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001003
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/images/favicon.ico, HTTP/1.1, 200, 0.000427
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 200, 0.000333
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 200, 0.000270
127.0.0.1, 2014-06-24 11:12:58, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 200, 0.000343
127.0.0.1, 2014-06-24 11:14:59, GET, /index, HTTP/1.1, 303, 0.012290
127.0.0.1, 2014-06-24 11:14:59, GET, /user/login, HTTP/1.1, 200, 0.018519
127.0.0.1, 2014-06-24 11:14:59, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000530
127.0.0.1, 2014-06-24 11:15:12, POST, /user/login, HTTP/1.1, 303, 0.211740
127.0.0.1, 2014-06-24 11:15:12, GET, /, HTTP/1.1, 200, 0.028176
127.0.0.1, 2014-06-24 11:15:12, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000298
127.0.0.1, 2014-06-24 11:15:20, GET, /index.html, HTTP/1.1, 200, 0.021910
127.0.0.1, 2014-06-24 11:15:20, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000388
127.0.0.1, 2014-06-24 11:15:25, GET, /index.html, HTTP/1.1, 200, 0.014930
127.0.0.1, 2014-06-24 11:15:25, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000296
127.0.0.1, 2014-06-24 11:16:15, GET, /index, HTTP/1.1, 200, 0.029620
127.0.0.1, 2014-06-24 11:16:15, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000331
127.0.0.1, 2014-06-24 11:25:28, GET, /index, HTTP/1.1, 200, 0.755758
127.0.0.1, 2014-06-24 11:25:28, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000470
127.0.0.1, 2014-06-24 11:25:44, GET, /py2manager/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000320
127.0.0.1, 2014-06-24 11:25:45, GET, /py2manager/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000471
127.0.0.1, 2014-06-24 11:25:46, GET, /user/profile, HTTP/1.1, 200, 0.016423
127.0.0.1, 2014-06-24 11:25:46, GET, /user/profile, HTTP/1.1, 200, 0.032904
127.0.0.1, 2014-06-24 11:25:46, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000323
127.0.0.1, 2014-06-24 11:27:45, POST, /user/profile, HTTP/1.1, 303, 0.293686
127.0.0.1, 2014-06-24 11:27:45, GET, /, HTTP/1.1, 200, 0.019234
127.0.0.1, 2014-06-24 11:27:45, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000459
127.0.0.1, 2014-06-24 11:27:49, GET, /, HTTP/1.1, 200, 0.014528
127.0.0.1, 2014-06-24 11:27:50, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2014-06-24 11:27:51, GET, /, HTTP/1.1, 200, 0.014798
127.0.0.1, 2014-06-24 11:27:51, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000470
127.0.0.1, 2014-06-24 11:27:54, GET, /py2manager/static/error.html, HTTP/1.1, 404, 0.007609
127.0.0.1, 2014-06-24 11:27:55, GET, /, HTTP/1.1, 200, 0.016160
127.0.0.1, 2014-06-24 11:27:56, GET, /py2manager/static/error.html, HTTP/1.1, 404, 0.008153
127.0.0.1, 2014-06-24 11:27:57, GET, /, HTTP/1.1, 200, 0.023949
127.0.0.1, 2014-06-24 11:27:58, GET, /py2manager/static/error.html, HTTP/1.1, 404, 0.013096
127.0.0.1, 2014-06-24 11:28:00, GET, /, HTTP/1.1, 200, 0.021622
127.0.0.1, 2014-06-24 11:28:27, GET, /user/profile, HTTP/1.1, 200, 0.028982
127.0.0.1, 2014-06-24 11:28:27, GET, /user/profile, HTTP/1.1, 200, 0.028512
127.0.0.1, 2014-06-24 11:28:27, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000276
127.0.0.1, 2014-06-24 11:28:27, GET, /download/auth_user.image.baa8578ddcee4b1b.70726f66696c652e6a7067.jpg, HTTP/1.1, 200, 0.010350
127.0.0.1, 2014-06-24 11:41:59, GET, /, HTTP/1.1, 303, 0.013476
127.0.0.1, 2014-06-24 11:41:59, GET, /user/login, HTTP/1.1, 200, 0.018985
127.0.0.1, 2014-06-24 11:41:59, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000376
127.0.0.1, 2014-06-24 11:42:10, POST, /user/login, HTTP/1.1, 303, 0.268579
127.0.0.1, 2014-06-24 11:42:10, GET, /, HTTP/1.1, 200, 0.018794
127.0.0.1, 2014-06-24 11:42:10, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000301
127.0.0.1, 2014-06-24 11:42:10, GET, /py2manager/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000324
127.0.0.1, 2014-06-24 11:42:33, GET, /index/new/project, HTTP/1.1, 200, 0.013163
127.0.0.1, 2014-06-24 11:42:33, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000330
127.0.0.1, 2014-06-24 11:43:05, POST, /index/new/project, HTTP/1.1, 303, 0.237401
127.0.0.1, 2014-06-24 11:43:05, GET, /, HTTP/1.1, 200, 0.020217
127.0.0.1, 2014-06-24 11:43:05, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000310
127.0.0.1, 2014-06-24 11:43:17, GET, /, HTTP/1.1, 200, 0.021028
127.0.0.1, 2014-06-24 11:43:17, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000494
127.0.0.1, 2014-06-24 11:43:34, GET, /, HTTP/1.1, 200, 0.024397
127.0.0.1, 2014-06-24 11:43:34, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000485
127.0.0.1, 2014-06-24 11:47:24, GET, /add, HTTP/1.1, 200, 0.030439
127.0.0.1, 2014-06-24 11:47:24, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000981
127.0.0.1, 2014-06-24 11:47:49, POST, /add, HTTP/1.1, 200, 0.016347
127.0.0.1, 2014-06-24 11:47:49, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000385
127.0.0.1, 2014-06-24 11:53:51, GET, /add, HTTP/1.1, 200, 0.016736
127.0.0.1, 2014-06-24 11:53:51, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000410
127.0.0.1, 2014-06-24 11:53:57, POST, /add, HTTP/1.1, 200, 0.017404
127.0.0.1, 2014-06-24 11:53:57, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000398
127.0.0.1, 2014-06-24 11:54:21, POST, /add, HTTP/1.1, 200, 0.015921
127.0.0.1, 2014-06-24 11:54:21, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000344
127.0.0.1, 2014-06-24 11:54:25, POST, /add, HTTP/1.1, 200, 0.016511
127.0.0.1, 2014-06-24 11:54:25, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000415
127.0.0.1, 2014-06-24 11:54:39, POST, /add, HTTP/1.1, 200, 0.025430
127.0.0.1, 2014-06-24 11:54:39, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000325
127.0.0.1, 2014-06-24 11:54:43, GET, /, HTTP/1.1, 200, 0.025746
127.0.0.1, 2014-06-24 11:54:43, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000413
127.0.0.1, 2014-06-24 11:54:58, GET, /add, HTTP/1.1, 200, 0.012551
127.0.0.1, 2014-06-24 11:54:58, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000322
127.0.0.1, 2014-06-24 11:55:11, POST, /add, HTTP/1.1, 200, 0.019288
127.0.0.1, 2014-06-24 11:55:11, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000460
127.0.0.1, 2014-06-24 11:55:25, POST, /add, HTTP/1.1, 200, 0.018478
127.0.0.1, 2014-06-24 11:55:25, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000435
127.0.0.1, 2014-06-24 11:59:38, GET, /, HTTP/1.1, 200, 0.061066
127.0.0.1, 2014-06-24 11:59:38, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000329
127.0.0.1, 2014-06-24 11:59:40, GET, /add, HTTP/1.1, 200, 0.015022
127.0.0.1, 2014-06-24 11:59:40, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-06-24 11:59:52, POST, /add, HTTP/1.1, 200, 0.022430
127.0.0.1, 2014-06-24 11:59:52, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000312
127.0.0.1, 2014-06-24 12:00:15, POST, /add, HTTP/1.1, 200, 0.019864
127.0.0.1, 2014-06-24 12:00:15, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000322
127.0.0.1, 2014-06-24 12:00:23, POST, /add, HTTP/1.1, 200, 0.016284
127.0.0.1, 2014-06-24 12:00:23, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000506
127.0.0.1, 2014-06-24 12:00:35, POST, /add, HTTP/1.1, 200, 0.016529
127.0.0.1, 2014-06-24 12:00:35, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000655
127.0.0.1, 2014-06-24 12:02:06, POST, /add, HTTP/1.1, 200, 0.015521
127.0.0.1, 2014-06-24 12:02:06, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000428
127.0.0.1, 2014-06-24 12:02:09, POST, /add, HTTP/1.1, 200, 0.015571
127.0.0.1, 2014-06-24 12:02:09, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000413
127.0.0.1, 2014-06-24 12:02:15, POST, /add, HTTP/1.1, 200, 0.017249
127.0.0.1, 2014-06-24 12:02:15, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000455
127.0.0.1, 2014-06-24 12:02:21, GET, /company, HTTP/1.1, 200, 0.015737
127.0.0.1, 2014-06-24 12:02:21, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000403
127.0.0.1, 2014-06-24 12:02:45, POST, /company, HTTP/1.1, 200, 0.221223
127.0.0.1, 2014-06-24 12:02:45, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000303
127.0.0.1, 2014-06-24 12:02:48, GET, /, HTTP/1.1, 200, 0.022120
127.0.0.1, 2014-06-24 12:02:48, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000328
127.0.0.1, 2014-06-24 12:02:55, GET, /, HTTP/1.1, 200, 0.019198
127.0.0.1, 2014-06-24 12:02:55, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000383
127.0.0.1, 2014-06-24 12:03:04, GET, /add, HTTP/1.1, 200, 0.013751
127.0.0.1, 2014-06-24 12:03:04, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000340
127.0.0.1, 2014-06-24 12:03:22, POST, /add, HTTP/1.1, 200, 0.017039
127.0.0.1, 2014-06-24 12:03:22, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000524
